7,IBOVESPA,ÍNDICE BOLSA DE VALORES DO ESTADO DE SÃO PAULO,BOVESPA,IBOV,,
11,SELIC,SISTEMA ESPECIAL DE LIQUIDAÇÃO E CUSTÓDIA,TAXA SELIC,,,
12,CDI,CERTIFICADO DE DEPÓSITO INTERBANCÁRIO,DEPÓSITO INTERBANCÁRIO,DI DE UM DIA,DI,
189,IGP-M,ÍNDICE GERAL DE PREÇOS DO MERCADO,IGPM,,,
190,IGP-DI,ÍNDICE GERAL DE PREÇOS DISPONIBILIDADE INTERNA,IGPDI,,,
433,IPC-A,ÍNDICE DE PREÇOS AO CONSUMIDOR AMPLO,IPCA,INFLAÇÃO,,
7809,DOW JONES,INDEX DOW JONES NEW YORK STOCK EXCHANGE,DOW JONES NYSE,DOW JONES,DOW,
7810,NASDAQ,INDEX NATIONAL ASSOCIATION OF SECURITIES DEALERS AUTOMATIC QUOTATIONS,ÍNDICE NASDAQ,NASDAQ,,
8309,POUPANÇA,CADERNETA DE POUPANÇA,,,,
10813,DOLAR,DÓLAR COMERCIAL (COMPRA),DOLAR AMERICANO,USD,DOLLAR,DÓLAR
21620,EURO,EURO (COMPRA),EURO,EUR,,
21622,IENE,IENE (COMPRA),IENE JAPONÊS,IEN,,
21624,LIBRA,LIBRA ESTERLINA (COMPRA),LIBRA ESTERLINA,GBP,,
